serv_id,serv_rack_id
1,41432
2,10263
3,7428
4,21776
5,13858
6,19047
7,43550
8,12358
9,41236
10,22688
11,7231
12,27639
13,11297
14,33253
15,28440
16,26682
17,6664
18,36976
19,46985
20,6847
21,20317
22,39964
23,13582
24,49534
25,49358
26,8975
27,33710
28,47381
29,39104
30,15833
31,822
32,39617
33,32221
34,46127
35,33622
36,28670
37,35535
38,28031
39,28082
40,38268
41,4798
42,8933
43,30737
44,22513
45,34802
46,18551
47,25513
48,38978
49,47074
50,19668
51,5753
52,27764
53,35868
54,28174
55,22909
56,28748
57,45534
58,9310
59,34938
60,41573
61,449
62,22489
63,46670
64,8642
65,31335
66,19058
67,10213
68,28755
69,32101
70,15834
71,24069
72,15307
73,23691
74,20200
75,4406
76,40245
77,25030
78,48752
79,3432
80,4509
81,47003
82,36852
83,4590
84,48828
85,26354
86,41087
87,23493
88,32768
89,46129
90,40170
91,721
92,28333
93,17834
94,38761
95,3584
96,7486
97,15493
98,107
99,16963
100,7205
101,25583
102,39478
103,24704
104,17276
105,41605
106,24103
107,49066
108,7237
109,5217
110,24833
111,30648
112,10105
113,23989
114,43494
115,31583
116,21982
117,7445
118,43836
119,7429
120,26010
121,22391
122,24328
123,40333
124,44834
125,44985
126,2797
127,46487
128,23479
129,39109
130,24236
131,11268
132,29736
133,16088
134,46979
135,3651
136,23001
137,9060
138,5858
139,31514
140,47461
141,28172
142,20439
143,41845
144,19335
145,32358
146,13685
147,37728
148,1768
149,39216
150,35733
151,6674
152,15922
153,36372
154,46752
155,2301
156,40535
157,36935
158,9833
159,44147
160,13949
161,23881
162,10142
163,18736
164,23100
165,36710
166,43971
167,15373
168,22111
169,37047
170,31365
171,1194
172,16799
173,33961
174,3829
175,22290
176,10704
177,4646
178,26381
179,293
180,31793
181,1683
182,30998
183,8815
184,23986
185,15467
186,39192
187,25509
188,5507
189,44693
190,430
191,41117
192,13849
193,29721
194,44351
195,3107
196,26594
197,13289
198,16705
199,7448
200,28836
201,1570
202,24011
203,38505
204,37741
205,46805
206,29355
207,25066
208,4841
209,22182
210,43307
211,18524
212,6076
213,15157
214,38226
215,35915
216,40120
217,14188
218,12254
219,23683
220,47981
221,7052
222,24771
223,32153
224,35502
225,18063
226,35207
227,13009
228,1449
229,24251
230,16334
231,49927
232,20119
233,41462
234,25933
235,30894
236,36626
237,37507
238,32071
239,13226
240,14487
241,16320
242,20312
243,7599
244,26509
245,10133
246,29455
247,11836
248,13909
249,46821
250,3911
251,12958
252,13599
253,1066
