Query	Average	Adjusted average	Standard Deviation	Returned rows
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000

